Index,Cumulative Percentage Error
344,0.07367357891471328
345,0.09310792270156346
346,0.06571090112983534
347,0.08301524577085183
349,0.09865861031856982
350,0.08826359836473004
351,0.10380375082037278
352,0.09224385338063595
353,0.10253635238609454
354,0.1007249344693556
355,0.099242865264751
356,0.10423581230752543
357,0.10846061365141149
358,0.11506037300743953
359,0.11304556157387974
361,0.11391877873236499
362,0.11514370639895677
364,0.11491907751317548
365,0.11785505801694555
366,0.11384974375432617
367,0.11499499655621866
368,0.11305516708133419
369,0.11222536933518092
370,0.11197864526738849
371,0.11002724713633151
372,0.11480824998298343
373,0.11923510447062409
374,0.12334575506629042
375,0.12707474766116092
376,0.1305551407497067
377,0.1284790057632194
378,0.126001050302118
379,0.12378196759578718
380,0.1287008221692406
381,0.12819105734393219
382,0.12840569998487142
383,0.12860874032089503
384,0.12881522575744353
385,0.1295951150764753
386,0.12779675700304702
387,0.1260861237136884
389,0.12495425108348704
390,0.12530067347711063
391,0.12500532147985594
392,0.12533681569066207
393,0.12565389710969405
394,0.12541114036019252
395,0.12549673567203676
396,0.12498829570771429
397,0.12479463135354811
398,0.126860122910974
399,0.128846172485422
401,0.12666068853528126
402,0.12855986928960922
403,0.12950081634251803
404,0.1280622093515119
405,0.1309600054841668
406,0.1323204238907068
407,0.13363472641905905
408,0.1363678561729941
409,0.13901137511532474
410,0.1391163694574126
411,0.1392180306457834
412,0.14161532126217907
413,0.14084410452275112
414,0.14094997356010752
415,0.14053434609658294
416,0.14073429235833343
417,0.13892310401106178
419,0.139114649669472
420,0.13728029414218695
421,0.13772916160718343
422,0.13722740439498038
423,0.13736079655112599
424,0.13696259383882178
425,0.13649245324605638
426,0.13615958815366266
427,0.13562518170051766
428,0.13518982381555733
429,0.13484364593196677
430,0.13454757426776642
431,0.13405889512801747
432,0.13373885534488847
433,0.13335186788588566
434,0.133363499386555
435,0.13310185219754553
436,0.13265787556088812
437,0.1323719405332452
438,0.13202205253611493
439,0.13158453674760648
440,0.13133656380032074
441,0.13098932242956898
442,0.13071694621970964
443,0.1304861169891234
444,0.13008779608997847
445,0.12983332253604798
446,0.12951947753764706
447,0.12931028897649355
448,0.12893993890168406
449,0.1286444430895788
450,0.12841685786010426
451,0.12813228432903617
452,0.12791409064538195
453,0.12773240706748984
454,0.12739824730085045
455,0.12719315378775423
456,0.1269333145718982
457,0.12673632401949775
458,0.12648544359446712
459,0.12632665773037746
460,0.12602322506226912
461,0.12584139568593325
462,0.1256073157036786
463,0.12604495959704076
464,0.1261380577989877
465,0.12518039530588318
466,0.1264914795547065
467,0.12778034203660057
468,0.12904754296417711
470,0.12867494700441176
471,0.12781334103929567
472,0.12756559716371055
473,0.12752456579771526
474,0.1276072651284862
476,0.12660812427015036
477,0.1256079831703768
478,0.12575859229518413
479,0.1256430729521631
480,0.12588694707540113
481,0.1258115858304192
482,0.1257373751387958
483,0.12597499225781908
484,0.12590066889669077
485,0.12519121841446418
486,0.1251238018723404
487,0.12443049674297267
488,0.12374731285636943
489,0.1236863081689533
490,0.12448847728800477
491,0.12527918684821265
492,0.12448417173817332
493,0.12530610257718763
494,0.12443522038358687
495,0.12362153780723419
496,0.12296264567026648
497,0.1223772344391501
498,0.12255192631194
499,0.12240814129928146
500,0.12236171913580095
501,0.12260802064441254
502,0.12270798224371875
503,0.12280662855882357
504,0.12290398537961329
505,0.12285798849061953
506,0.12342000812336704
507,0.12354951683136119
508,0.12426123748893658
509,0.12441827808004802
510,0.12420033533116714
511,0.12366113258610105
512,0.12415377463374894
513,0.12356382928416547
514,0.12450480076426101
515,0.1262994339610896
516,0.12593251469842145
517,0.1257516767605623
518,0.12584551712298161
519,0.12584342188413458
520,0.12584135144101355
521,0.12647175984191694
522,0.12709479504514892
523,0.12771058565299448
524,0.12709023639910635
525,0.1275846804942607
526,0.12694898395996027
527,0.12717135089485662
528,0.1272605804148448
529,0.12654798187140573
530,0.1263551937900055
532,0.1258747434634569
533,0.12607454507027163
534,0.1270317961679775
535,0.12722533773246295
536,0.12703637316116873
537,0.1264189848829921
538,0.12698812199513726
539,0.1274650459612975
540,0.12800777605681254
541,0.12847123622895534
542,0.12852960498169655
543,0.12790516140100613
544,0.1277639700662417
545,0.12778078248977082
546,0.12782053251109599
547,0.1281461367809341
548,0.12803289858410694
549,0.12809337045658672
550,0.12797448749115903
551,0.12813067776080966
552,0.12801120872301625
553,0.12789292843186753
554,0.12744789045471502
555,0.12724081294662953
556,0.12697192801796572
557,0.12709479118518013
558,0.1275521013596073
559,0.12870732386732092
560,0.12955713982978198
561,0.12969976296307817
562,0.12955335755895223
566,0.12940833988377534
567,0.12954964665172303
569,0.12897889077178448
570,0.1291472285083175
571,0.12899964521516374
572,0.12841257885058419
573,0.12846078412149545
574,0.128243666285694
575,0.12812926489469734
576,0.12824475147020054
577,0.12785125959874905
578,0.1277401717701845
580,0.12753885879402138
