Index,Percentage Error,Type,Estimated Option Price,Actual Option Price
345,0.11254226648841363,C,1.3311866002673796,1.5
347,0.13492827969390128,C,0.8304688514938547,0.96
349,0.16123206850944177,C,0.2851810967067898,0.34
351,0.1970446655542293,C,0.016059106688915414,0.02
353,0.1848763444297633,C,0.2852932794495828,0.35
356,0.1591582297780444,C,0.832433352519736,0.99
357,0.1591582297780444,C,0.832433352519736,0.99
358,0.20085724463580393,C,0.015982855107283922,0.02
361,0.12701703610964374,C,1.9554818391143982,2.24
362,0.13474254906442548,C,1.9554818391143982,2.26
364,0.11110038645489347,C,1.9555791497992345,2.2
365,0.17070270708480706,C,0.8292972929151929,1.0
367,0.1379000525940682,C,0.2844929826439575,0.33
370,0.10630399170816268,P,4.126513889071447,3.73
372,0.23433332114928124,P,1.5922899842825728,1.29
373,0.23433332114928124,P,1.5922899842825728,1.29
374,0.23433332114928124,P,1.5922899842825728,1.29
375,0.2314865403175344,P,1.5886176370096194,1.29
376,0.2314865403175344,P,1.5886176370096194,1.29
380,0.2910230230932029,P,0.1291023023093203,0.1
381,0.11085905328344636,C,0.7646612141762361,0.86
382,0.13591819241774475,C,1.9528248851358967,2.26
383,0.13591819241774475,C,1.9528248851358967,2.26
384,0.13645518690973757,C,1.9516112775839929,2.26
385,0.15923090919968322,C,0.8323613998923136,0.99
390,0.13985041400930123,C,1.9525395601988862,2.27
391,0.11230518559790428,C,1.6244815103558352,1.83
392,0.13992256096613254,C,1.9523757866068792,2.27
393,0.13992256096613254,C,1.9523757866068792,2.27
394,0.11424432988312186,C,1.620932876313887,1.83
395,0.12951971532871642,C,0.8269562704377194,0.95
396,0.10058317742023548,C,2.833162991126258,3.15
397,0.11530507799940538,C,1.6189917072610882,1.83
398,0.23013470078226883,P,1.5868737640091268,1.29
399,0.23013470078226883,P,1.5868737640091268,1.29
402,0.22921644926898985,P,1.585689219556997,1.29
403,0.18031195719959384,C,0.8278849232284102,1.01
405,0.2932365889128405,P,0.12932365889128405,0.1
406,0.20986427306348782,P,1.5849221977131691,1.31
407,0.20986427306348782,P,1.5849221977131691,1.31
408,0.2976225116551631,P,0.12976225116551632,0.1
409,0.2976225116551631,P,0.12976225116551632,0.1
410,0.14552102432477254,C,1.9482120645395185,2.28
411,0.14552102432477254,C,1.9482120645395185,2.28
412,0.2926446300951077,P,0.12926446300951078,0.1
414,0.1478314609882735,C,1.9514659543368538,2.29
415,0.11310293350396243,C,1.6230216316877488,1.83
416,0.15413069189561449,C,0.06766954464835084,0.08
419,0.15233130009977588,C,0.2882073579660762,0.34
421,0.16959875162193327,C,0.8304012483780667,1.0
422,0.10110088511636106,C,1.734875291725423,1.93
423,0.1470984239497552,C,1.9531446091550606,2.29
424,0.10749559312831093,P,3.654735457323426,3.3
425,0.10123190878865121,P,5.351987076712845,4.86
426,0.11086184113174037,P,3.654735457323426,3.29
428,0.10123190878865121,P,5.351987076712845,4.86
429,0.10749559312831093,P,3.654735457323426,3.3
430,0.11086184113174037,P,3.654735457323426,3.29
432,0.10749559312831093,P,3.654735457323426,3.3
433,0.10123190878865121,P,5.351987076712845,4.86
434,0.13434054544277843,C,0.06925275636457773,0.08
435,0.11086184113174037,P,3.654735457323426,3.29
437,0.10749559312831093,P,3.654735457323426,3.3
438,0.10123190878865121,P,5.351987076712845,4.86
440,0.10901899854460462,P,3.6486725052117492,3.29
442,0.10565833491265135,P,3.6486725052117492,3.3
443,0.10901899854460462,P,3.6486725052117492,3.29
445,0.10565833491265135,P,3.6486725052117492,3.3
447,0.10901899854460462,P,3.6486725052117492,3.29
450,0.10565833491265135,P,3.6486725052117492,3.3
452,0.10565833491265135,P,3.6486725052117492,3.3
453,0.10901899854460462,P,3.6486725052117492,3.29
455,0.10565833491265135,P,3.6486725052117492,3.3
457,0.10565833491265135,P,3.6486725052117492,3.3
459,0.10901899854460462,P,3.6486725052117492,3.29
461,0.10565833491265135,P,3.6486725052117492,3.3
463,0.17549871954696614,C,0.8327462932575642,1.01
464,0.1367512528209382,C,0.29350457404088104,0.34
466,0.27857725241820924,P,0.12785772524182093,0.1
467,0.27857725241820924,P,0.12785772524182093,0.1
468,0.27857725241820924,P,0.12785772524182093,0.1
473,0.1225187391462888,C,1.9831076495293871,2.26
474,0.1377792828133099,C,1.9831076495293871,2.3
478,0.14473534202090976,C,0.8125014250801357,0.95
479,0.11097211638849104,C,2.862669785229059,3.22
480,0.15710283484986773,C,0.2950140078025463,0.35
481,0.11608998522775141,C,3.7124220620434443,4.2
482,0.11608998522775141,C,3.7124220620434443,4.2
483,0.15710283484986773,C,0.2950140078025463,0.35
484,0.11608998522775141,C,3.7124220620434443,4.2
486,0.11608998522775141,C,3.7124220620434443,4.2
489,0.11532866599294443,C,3.7156196028296335,4.2
490,0.23518781571710862,P,1.5439847696463858,1.25
491,0.23518781571710862,P,1.5439847696463858,1.25
493,0.24119835087820857,P,1.5390859550889786,1.24
498,0.14805693973926337,C,1.6357306757006143,1.92
499,0.10127174443847844,P,2.9073574053175832,2.64
500,0.11549123894068396,P,1.9967293177038243,1.79
501,0.1593069454275384,C,0.8238791934810124,0.98
502,0.13770222213965153,P,4.095727999702746,3.6
503,0.13770222213965153,P,4.095727999702746,3.6
504,0.13770222213965153,P,4.095727999702746,3.6
505,0.11582046447457535,P,5.244356183030504,4.7
506,0.20997103156648325,P,2.8676313448125654,2.37
507,0.14362336657045538,P,4.803218139595913,4.2
508,0.2352896600706978,P,1.5194062818869583,1.23
509,0.14907365088454244,C,2.0166954474036345,2.37
