index,Percentage Error
344,0.07367357891471328
345,0.11254226648841363
346,0.010916857986379114
347,0.13492827969390128
349,0.16123206850944177
350,0.036288538595531106
351,0.1970446655542293
352,0.011324571302478149
353,0.1848763444297633
354,0.08442217321870495
355,0.08442217321870495
356,0.1591582297780444
357,0.1591582297780444
358,0.20085724463580393
359,0.08483820150404282
361,0.12701703610964374
362,0.13474254906442548
364,0.11110038645489347
365,0.17070270708480706
366,0.037748772764557945
367,0.1379000525940682
368,0.07231874810876024
369,0.09396981891980871
370,0.10630399170816268
371,0.06319369199096393
372,0.23433332114928124
373,0.23433332114928124
374,0.23433332114928124
375,0.2314865403175344
376,0.2314865403175344
377,0.06619495616860081
378,0.04918443100797421
379,0.05277132099320107
380,0.2910230230932029
381,0.11085905328344636
382,0.13591819241774475
383,0.13591819241774475
384,0.13645518690973757
385,0.15923090919968322
386,0.057660792139343775
387,0.057660792139343775
389,0.07854747324523068
390,0.13985041400930123
391,0.11230518559790428
392,0.13992256096613254
393,0.13992256096613254
394,0.11424432988312186
395,0.12951971532871642
396,0.10058317742023548
397,0.11530507799940538
398,0.23013470078226883
399,0.23013470078226883
401,0.013015523127963214
402,0.22921644926898985
403,0.18031195719959384
404,0.04893882484617556
405,0.2932365889128405
406,0.20986427306348782
407,0.20986427306348782
408,0.2976225116551631
409,0.2976225116551631
410,0.14552102432477254
411,0.14552102432477254
412,0.2926446300951077
413,0.09148623319936172
414,0.1478314609882735
415,0.11310293350396243
416,0.15413069189561449
417,0.015762296396590613
419,0.15233130009977588
420,0.008875407232234293
421,0.16959875162193327
422,0.10110088511636106
423,0.1470984239497552
424,0.10749559312831093
425,0.10123190878865121
426,0.11086184113174037
427,0.09447588480835288
428,0.10123190878865121
429,0.10749559312831093
430,0.11086184113174037
431,0.09447588480835288
432,0.10749559312831093
433,0.10123190878865121
434,0.13434054544277843
435,0.11086184113174037
436,0.09447588480835288
437,0.10749559312831093
438,0.10123190878865121
439,0.09264563157035419
440,0.10901899854460462
441,0.0993903576911587
442,0.10565833491265135
443,0.10901899854460462
444,0.09264563157035419
445,0.10565833491265135
446,0.0993903576911587
447,0.10901899854460462
448,0.09264563157035419
449,0.0993903576911587
450,0.10565833491265135
451,0.0993903576911587
452,0.10565833491265135
453,0.10901899854460462
454,0.09264563157035419
455,0.10565833491265135
456,0.0993903576911587
457,0.10565833491265135
458,0.0993903576911587
459,0.10901899854460462
460,0.09264563157035419
461,0.10565833491265135
462,0.0993903576911587
463,0.17549871954696614
464,0.1367512528209382
465,0.01504920859886335
466,0.27857725241820924
467,0.27857725241820924
468,0.27857725241820924
470,0.08433602779233403
471,0.02442062522536652
472,0.09758858821790933
473,0.1225187391462888
474,0.1377792828133099
476,0.0027146578365072217
477,0.0005903456986816472
478,0.14473534202090976
479,0.11097211638849104
480,0.15710283484986773
481,0.11608998522775141
482,0.11608998522775141
483,0.15710283484986773
484,0.11608998522775141
485,0.030834304278328728
486,0.11608998522775141
487,0.030834304278328728
488,0.030834304278328728
489,0.11532866599294443
490,0.23518781571710862
491,0.23518781571710862
492,0.013182056332665844
493,0.24119835087820857
494,0.0007699488922762262
495,0.00726492938879942
496,0.02808217794691727
497,0.037492605927276934
498,0.14805693973926337
499,0.10127174443847844
500,0.11549123894068396
501,0.1593069454275384
502,0.13770222213965153
503,0.13770222213965153
504,0.13770222213965153
505,0.11582046447457535
506,0.20997103156648325
507,0.14362336657045538
508,0.2352896600706978
509,0.14907365088454244
510,0.08976538100798898
511,0.03792789612059233
512,0.20297650225740943
513,0.028582628001229585
514,0.27694218053973674
515,0.41882464504415173
516,0.0657577556208438
517,0.0959134170138015
518,0.14142301728458995
519,0.12549351699667974
520,0.12549351699667974
521,0.2330107795945856
522,0.2330107795945856
523,0.2330107795945856
524,0.02039016473034755
525,0.21312350895596321
526,0.01633778699168445
527,0.16608556450172185
528,0.14296497593276178
529,0.0004180396826900503
530,0.09203891530077057
532,0.03987413501125316
533,0.16203883429692323
534,0.30029424485274
535,0.1624499024688146
