First Period,last Period,Risk Free Rate,Estimated Volatility,Avg Abs Err,Avg Perc Err
2010-02-04,2018-03-20,0.0301,0.06520798354608538,0.4687843328181943,0.34542666220717755
2010-03-05,2018-03-20,0.0301,0.06536467976716986,0.47130159382315806,0.34715686938557727
2010-04-05,2018-03-20,0.0301,0.06577609917985659,0.4779671996548682,0.35172812516187024
2010-05-03,2018-03-20,0.0301,0.0654476082322975,0.4726387515275211,0.3480745573095256
2010-06-01,2018-03-20,0.0301,0.06403573297827359,0.45037852938297684,0.33277278856840226
2010-06-29,2018-03-20,0.0301,0.06369626127822432,0.44517865152058195,0.3292139314520156
2010-07-28,2018-03-20,0.0301,0.06372863477648893,0.44567214610662564,0.32955142852438635
2010-08-25,2018-03-20,0.0301,0.06388818850681793,0.448111198723878,0.3312191975860926
2010-09-23,2018-03-20,0.0301,0.06405425221794979,0.45066398843062627,0.3329683648145805
2010-10-21,2018-03-20,0.0301,0.06405076135382484,0.4506101678845425,0.3329314928052317
2010-11-18,2018-03-20,0.0301,0.06430608878190953,0.45456331393857086,0.33563785368112986
2010-12-17,2018-03-20,0.0301,0.06472977666000551,0.46119165737906964,0.34020069412210613
2011-01-18,2018-03-20,0.0301,0.06520339942535296,0.4687108941022261,0.3453761400736605
2011-02-15,2018-03-20,0.0301,0.06544728389252173,0.47263351781840696,0.3480709650640669
2011-03-16,2018-03-20,0.0301,0.06520338919592228,0.4687107302251987,0.3453760273367729
2011-04-13,2018-03-20,0.0301,0.06559054297483524,0.4749506503098862,0.3496600070481782
2011-05-12,2018-03-20,0.0301,0.06602471080613029,0.48205810371128743,0.35452533939615216
2011-06-10,2018-03-20,0.0301,0.0662603484720524,0.48599089651539257,0.3572119490995775
2011-07-11,2018-03-20,0.0301,0.06630845448156107,0.48679750007975553,0.357762541554482
2011-08-08,2018-03-20,0.0301,0.06573703106387539,0.47733049153314366,0.3512918875946373
2011-09-06,2018-03-20,0.0301,0.06472175847758573,0.4610652854590212,0.3401138747603211
2011-10-04,2018-03-20,0.0301,0.0648722954796895,0.46344310408372597,0.3417487096401855
2011-11-01,2018-03-20,0.0301,0.06393834132353636,0.4488805320238726,0.33174594425126996
2011-11-30,2018-03-20,0.0301,0.06367533316442187,0.4448599221536509,0.32899591746613505
2011-12-29,2018-03-20,0.0301,0.06405585471713704,0.4506887026545073,0.3329852936978577
2012-01-30,2018-03-20,0.0301,0.06397801324008598,0.44949007788065587,0.33216388734091074
2012-02-28,2018-03-20,0.0301,0.06414524134643332,0.4520695073916429,0.3339307401959307
2012-03-27,2018-03-20,0.0301,0.06417093065967433,0.45246714763298984,0.33420294184865174
2012-04-25,2018-03-20,0.0301,0.06208705544432413,0.42128832641096686,0.31294274380857096
2012-05-23,2018-03-20,0.0301,0.06161560896667966,0.414489960341417,0.3083437560274315
2012-06-21,2018-03-20,0.0301,0.0619402455976297,0.41916325269122306,0.311503072190299
2012-07-20,2018-03-20,0.0301,0.062294864156345914,0.42431096432693177,0.3149905518793128
2012-08-17,2018-03-20,0.0301,0.06241739029167436,0.42610122728786737,0.3162053350869731
2012-09-17,2018-03-20,0.0301,0.06260992622976772,0.4289245216697712,0.31812440252539886
2012-10-15,2018-03-20,0.0301,0.06275364492122076,0.431041834677443,0.3195665324531046
2012-11-14,2018-03-20,0.0301,0.06162739230064413,0.4146590457324509,0.3084578258443817
2012-12-13,2018-03-20,0.0301,0.059925250455382856,0.39083699211501477,0.292501331448431
2013-01-14,2018-03-20,0.0301,0.05906720192100471,0.3793221168623128,0.28492794685106587
2013-02-12,2018-03-20,0.0301,0.054830616670711756,0.3297431869843603,0.2538372375034484
2013-03-13,2018-03-20,0.0301,0.05474197445084797,0.3288590379212289,0.253328048125007
2013-04-11,2018-03-20,0.0301,0.05468588439977604,0.32830321788904804,0.2530093045916592
2013-05-09,2018-03-20,0.0301,0.05364372555097287,0.31837780909396196,0.24750744397812055
2013-06-07,2018-03-20,0.0301,0.05378525655143278,0.31968624211943936,0.24820907757981303
2013-07-08,2018-03-20,0.0301,0.05382514068622435,0.32005697040248093,0.24840961678746787
2013-08-05,2018-03-20,0.0301,0.053767611634757524,0.3195225073203554,0.24812073194274292
2013-09-03,2018-03-20,0.0301,0.05358483535588514,0.31783832149560626,0.24722018362320256
2013-10-01,2018-03-20,0.0301,0.05217157265716113,0.30597790896334404,0.24122975385309003
2013-10-29,2018-03-20,0.0301,0.052528668529366225,0.3087489597607304,0.24257307117278915
2013-11-26,2018-03-20,0.0301,0.05300978618265067,0.31272898333579885,0.2445567819585632
2013-12-26,2018-03-20,0.0301,0.053043277267934674,0.3130164748426928,0.24470398214566677
2014-01-27,2018-03-20,0.0301,0.05317749701000151,0.31418375833459117,0.2453053169667907
2014-02-25,2018-03-20,0.0301,0.05192502866700759,0.30415054022399285,0.24036586197559415
2014-03-25,2018-03-20,0.0301,0.05263118848338988,0.3095689604348431,0.24297776432742887
2014-04-23,2018-03-20,0.0301,0.05326470315170612,0.31495378680148567,0.24570443290202865
2014-05-21,2018-03-20,0.0301,0.052074449175766716,0.3052498327181521,0.24088281284090277
2014-06-19,2018-03-20,0.0301,0.052635757525596565,0.30960587794604894,0.24299607952272576
2014-07-18,2018-03-20,0.0301,0.05326469615243173,0.3149537246539242,0.24570440061063528
2014-08-15,2018-03-20,0.0301,0.053812745861555634,0.31994169349422696,0.24834720729017398
2014-09-15,2018-03-20,0.0301,0.05397002279705744,0.32141119212477726,0.24914604198190307
2014-10-13,2018-03-20,0.0301,0.05405617204796779,0.3222216695983745,0.2495913037866172
2014-11-10,2018-03-20,0.0301,0.054510636755753024,0.32657997705216724,0.2520289230640048
2014-12-09,2018-03-20,0.0301,0.054714705621840186,0.3285883529517504,0.253172590968728
2015-01-08,2018-03-20,0.0301,0.05410817437447806,0.32271219243938276,0.2498623135766224
2015-02-06,2018-03-20,0.0301,0.05263160315468521,0.3095723098474777,0.24297942477360424
2015-03-09,2018-03-20,0.0301,0.05285281566343313,0.31139624784965503,0.24388611680338618
2015-04-07,2018-03-20,0.0301,0.05282671504408454,0.3111770124798245,0.24377675009332544
2015-05-05,2018-03-20,0.0301,0.052828427254568315,0.31119136460665686,0.24378389692070088
2015-06-03,2018-03-20,0.0301,0.05347308760129142,0.31682153025609733,0.24668247528452744
2015-07-01,2018-03-20,0.0301,0.054570024939922815,0.3271623984428451,0.2523592455952862
2015-07-30,2018-03-20,0.0301,0.054208034977455126,0.32365941711356433,0.25038920192349506
